-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2007 through 06/03/2026 in LST
Location: Latitude  37.392   Longitude -6.005 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 187.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,RH2M,PS,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2007,1,1,0,95.95,101.59,0.0,0.0
2007,1,1,1,96.96,101.58,0.0,0.0
2007,1,1,2,99.21,101.57,0.0,0.0
2007,1,1,3,100.0,101.53,0.0,0.0
2007,1,1,4,100.0,101.5,0.0,0.0
2007,1,1,5,100.0,101.51,0.0,0.0
2007,1,1,6,100.0,101.53,0.0,0.0
2007,1,1,7,100.0,101.55,0.0,0.0
2007,1,1,8,93.29,101.57,94.38,99.45
2007,1,1,9,83.7,101.62,233.45,255.75
2007,1,1,10,73.04,101.62,357.2,390.02
2007,1,1,11,66.56,101.57,438.5,476.17
2007,1,1,12,62.25,101.48,464.08,498.73
2007,1,1,13,60.43,101.41,435.77,466.45
2007,1,1,14,61.25,101.36,350.23,377.83
2007,1,1,15,66.77,101.35,228.18,243.4
2007,1,1,16,82.06,101.37,85.95,90.07
2007,1,1,17,90.43,101.42,0.0,0.0
2007,1,1,18,93.76,101.46,0.0,0.0
2007,1,1,19,97.37,101.47,0.0,0.0
2007,1,1,20,99.14,101.48,0.0,0.0
2007,1,1,21,100.0,101.49,0.0,0.0
2007,1,1,22,100.0,101.49,0.0,0.0
2007,1,1,23,100.0,101.47,0.0,0.0
2007,1,2,0,100.0,101.45,0.0,0.0
2007,1,2,1,100.0,101.43,0.0,0.0
2007,1,2,2,100.0,101.43,0.0,0.0
2007,1,2,3,100.0,101.38,0.0,0.0
2007,1,2,4,100.0,101.35,0.0,0.0
2007,1,2,5,98.82,101.34,0.0,0.0
2007,1,2,6,97.54,101.37,0.0,0.0
2007,1,2,7,97.66,101.39,0.0,0.0
2007,1,2,8,94.9,101.43,100.75,102.12
2007,1,2,9,87.01,101.49,259.8,261.75
2007,1,2,10,75.59,101.5,398.55,399.38
2007,1,2,11,66.68,101.44,486.83,487.5
2007,1,2,12,60.22,101.37,515.5,516.0
2007,1,2,13,55.96,101.3,484.77,485.1
2007,1,2,14,54.66,101.28,396.3,396.48
2007,1,2,15,59.99,101.28,258.55,259.25
2007,1,2,16,78.21,101.3,100.32,100.85
2007,1,2,17,77.88,101.34,0.0,0.0
2007,1,2,18,80.56,101.38,0.0,0.0
2007,1,2,19,82.99,101.41,0.0,0.0
2007,1,2,20,84.59,101.42,0.0,0.0
2007,1,2,21,85.87,101.43,0.0,0.0
2007,1,2,22,87.09,101.44,0.0,0.0
2007,1,2,23,89.3,101.42,0.0,0.0
2007,1,3,0,92.61,101.4,0.0,0.0
2007,1,3,1,96.41,101.39,0.0,0.0
2007,1,3,2,99.29,101.39,0.0,0.0
2007,1,3,3,100.0,101.35,0.0,0.0
2007,1,3,4,100.0,101.31,0.0,0.0
2007,1,3,5,100.0,101.3,0.0,0.0
2007,1,3,6,100.0,101.3,0.0,0.0
2007,1,3,7,99.93,101.3,0.0,0.0
2007,1,3,8,90.78,101.33,94.93,105.28
2007,1,3,9,78.01,101.37,248.57,266.77
2007,1,3,10,67.81,101.39,387.05,404.2
2007,1,3,11,60.39,101.32,479.25,492.6
2007,1,3,12,53.35,101.22,508.67,521.22
2007,1,3,13,50.68,101.16,484.08,491.52
2007,1,3,14,49.9,101.12,393.27,403.6
2007,1,3,15,55.06,101.11,259.88,266.8
2007,1,3,16,60.16,101.09,103.75,107.45
2007,1,3,17,56.61,101.1,0.0,0.0
2007,1,3,18,58.72,101.1,0.0,0.0
2007,1,3,19,62.17,101.1,0.0,0.0
2007,1,3,20,63.86,101.07,0.0,0.0
2007,1,3,21,64.29,101.07,0.0,0.0
2007,1,3,22,65.26,101.06,0.0,0.0
2007,1,3,23,66.78,101.03,0.0,0.0
2007,1,4,0,69.97,101.01,0.0,0.0
2007,1,4,1,74.09,101.01,0.0,0.0
2007,1,4,2,77.72,101.01,0.0,0.0
2007,1,4,3,80.69,100.98,0.0,0.0
2007,1,4,4,83.25,100.95,0.0,0.0
2007,1,4,5,84.9,100.95,0.0,0.0
2007,1,4,6,86.7,100.97,0.0,0.0
2007,1,4,7,87.01,100.98,0.0,0.0
2007,1,4,8,86.16,101.0,93.65,106.22
2007,1,4,9,71.96,101.05,244.02,266.77
2007,1,4,10,64.25,101.06,375.42,402.6
2007,1,4,11,56.73,101.02,463.02,490.45
2007,1,4,12,48.67,100.96,493.33,517.78
2007,1,4,13,44.21,100.88,445.17,487.02
2007,1,4,14,44.21,100.84,362.92,399.15
2007,1,4,15,54.56,100.82,237.48,263.17
2007,1,4,16,72.2,100.82,92.88,106.43
2007,1,4,17,75.55,100.86,0.0,0.0
2007,1,4,18,80.36,100.92,0.0,0.0
2007,1,4,19,84.51,100.96,0.0,0.0
2007,1,4,20,87.44,100.98,0.0,0.0
2007,1,4,21,90.19,100.97,0.0,0.0
2007,1,4,22,93.93,100.96,0.0,0.0
2007,1,4,23,97.39,100.92,0.0,0.0
2007,1,5,0,100.0,100.87,0.0,0.0
2007,1,5,1,100.0,100.83,0.0,0.0
2007,1,5,2,100.0,100.81,0.0,0.0
2007,1,5,3,100.0,100.79,0.0,0.0
2007,1,5,4,97.74,100.78,0.0,0.0
2007,1,5,5,97.73,100.81,0.0,0.0
2007,1,5,6,97.87,100.83,0.0,0.0
2007,1,5,7,99.33,100.84,0.0,0.0
2007,1,5,8,95.05,100.87,86.82,98.0
2007,1,5,9,87.73,100.9,230.98,253.77
2007,1,5,10,78.95,100.92,355.25,388.27
2007,1,5,11,69.34,100.86,440.3,476.58
2007,1,5,12,61.22,100.77,496.33,504.2
2007,1,5,13,56.85,100.7,470.35,475.98
2007,1,5,14,56.02,100.67,386.5,390.88
2007,1,5,15,61.47,100.65,256.12,258.38
2007,1,5,16,77.15,100.66,105.1,105.9
2007,1,5,17,80.58,100.69,0.0,0.0
2007,1,5,18,85.44,100.74,0.0,0.0
2007,1,5,19,90.32,100.78,0.0,0.0
2007,1,5,20,94.92,100.79,0.0,0.0
2007,1,5,21,98.12,100.78,0.0,0.0
2007,1,5,22,100.0,100.77,0.0,0.0
2007,1,5,23,100.0,100.75,0.0,0.0
2007,1,6,0,100.0,100.73,0.0,0.0
2007,1,6,1,100.0,100.72,0.0,0.0
2007,1,6,2,99.85,100.71,0.0,0.0
2007,1,6,3,97.94,100.69,0.0,0.0
2007,1,6,4,98.51,100.69,0.0,0.0
2007,1,6,5,98.85,100.69,0.0,0.0
2007,1,6,6,98.57,100.72,0.0,0.0
2007,1,6,7,98.3,100.73,0.0,0.0
2007,1,6,8,91.23,100.77,98.03,98.97
2007,1,6,9,80.84,100.84,255.07,256.17
2007,1,6,10,72.01,100.86,314.72,383.26
2007,1,6,11,62.71,100.82,468.33,479.9
2007,1,6,12,56.45,100.73,484.83,507.1
2007,1,6,13,51.93,100.66,433.4,479.12
2007,1,6,14,50.49,100.64,350.23,393.27
2007,1,6,15,53.93,100.62,224.23,260.15
2007,1,6,16,65.74,100.64,89.62,108.07
2007,1,6,17,68.4,100.66,0.0,0.0
2007,1,6,18,73.23,100.7,0.0,0.0
2007,1,6,19,76.76,100.72,0.0,0.0
2007,1,6,20,79.46,100.72,0.0,0.0
2007,1,6,21,84.1,100.72,0.0,0.0
2007,1,6,22,90.29,100.71,0.0,0.0
2007,1,6,23,95.79,100.69,0.0,0.0
2007,1,7,0,100.0,100.65,0.0,0.0
2007,1,7,1,100.0,100.64,0.0,0.0
2007,1,7,2,100.0,100.65,0.0,0.0
2007,1,7,3,100.0,100.64,0.0,0.0
2007,1,7,4,100.0,100.64,0.0,0.0
2007,1,7,5,100.0,100.65,0.0,0.0
2007,1,7,6,100.0,100.67,0.0,0.0
2007,1,7,7,100.0,100.68,0.0,0.0
2007,1,7,8,95.89,100.71,87.8,99.35
2007,1,7,9,89.08,100.76,238.9,257.38
2007,1,7,10,79.31,100.78,372.2,393.98
2007,1,7,11,68.93,100.71,463.3,483.08
2007,1,7,12,61.27,100.6,502.88,508.48
