_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,spaceID,stationID,userID,duracion_horas
5e210e1ff9af8b57bb4f5500,2020-01-01 02:12:11+00:00,2020-01-02 00:05:40+00:00,2020-01-01 06:55:27+00:00,15.813,0002,CA-303,2-39-139-28,000000838,21.89138888888889
5e225f9ff9af8b5c26d21715,2020-01-01 09:42:14+00:00,2020-01-02 02:25:40+00:00,2020-01-01 14:42:11+00:00,32.02,0002,CA-305,2-39-131-30,000000067,16.72388888888889
5e225f9ff9af8b5c26d21716,2020-01-01 18:10:34+00:00,2020-01-01 21:05:40+00:00,2020-01-01 19:22:56+00:00,2.328,0002,CA-309,2-39-127-19,000000710,2.9183333333333334
5e225f9ff9af8b5c26d21717,2020-01-01 19:44:51+00:00,2020-01-02 01:23:37+00:00,2020-01-01 22:43:57+00:00,19.868,0002,CA-325,2-39-79-377,000000248,5.646111111111111
5e225f9ff9af8b5c26d21718,2020-01-02 01:12:29+00:00,2020-01-02 04:38:39+00:00,2020-01-02 03:11:48+00:00,8.336,0002,CA-310,2-39-126-20,000001099,3.436111111111111
5e225f9ff9af8b5c26d21719,2020-01-02 04:18:06+00:00,2020-01-03 00:06:13+00:00,2020-01-02 06:41:48+00:00,14.731,0002,CA-491,2-39-79-382,000003267,19.801944444444445
5e23b122f9af8b5fe4b973bf,2020-01-02 16:05:15+00:00,2020-01-03 00:11:51+00:00,2020-01-02 16:39:20+00:00,2.083,0002,CA-489,2-39-79-380,000000751,8.11
5e23b122f9af8b5fe4b973c0,2020-01-02 16:06:34+00:00,2020-01-02 17:04:02+00:00,2020-01-02 16:37:26+00:00,0.855,0002,CA-492,2-39-79-383,,0.9577777777777777
5e23b122f9af8b5fe4b973c1,2020-01-02 16:31:35+00:00,2020-01-03 00:29:28+00:00,2020-01-03 00:29:26+00:00,50.788,0002,CA-323,2-39-78-366,000003853,7.964722222222222
5e23b122f9af8b5fe4b973c2,2020-01-02 17:25:53+00:00,2020-01-03 02:14:55+00:00,2020-01-02 19:23:42+00:00,4.187,0002,CA-304,2-39-138-29,000000620,8.817222222222222
5e23b122f9af8b5fe4b973c3,2020-01-02 17:45:13+00:00,2020-01-03 00:51:06+00:00,2020-01-02 19:55:59+00:00,6.874,0002,CA-494,2-39-78-367,000001001,7.098055555555556
5e23b122f9af8b5fe4b973c4,2020-01-02 17:46:15+00:00,2020-01-02 21:02:06+00:00,2020-01-02 19:49:03+00:00,6.501,0002,CA-321,2-39-78-365,000001124,3.2641666666666667
5e23b122f9af8b5fe4b973c5,2020-01-02 17:47:53+00:00,2020-01-02 20:42:59+00:00,2020-01-02 20:42:55+00:00,20.165,0002,CA-303,2-39-139-28,000000710,2.9183333333333334
5e23b122f9af8b5fe4b973c6,2020-01-02 18:07:57+00:00,2020-01-02 20:46:38+00:00,2020-01-02 19:32:04+00:00,4.32,0002,CA-313,2-39-123-23,000002170,2.644722222222222
5e23b122f9af8b5fe4b973c7,2020-01-02 18:25:20+00:00,2020-01-03 00:46:32+00:00,2020-01-02 20:41:45+00:00,5.191,0002,CA-490,2-39-79-381,000003389,6.3533333333333335
5e23b122f9af8b5fe4b973c8,2020-01-02 18:40:46+00:00,2020-01-02 21:19:16+00:00,2020-01-02 21:18:35+00:00,8.379,0002,CA-500,2-39-90-440,000003447,2.6416666666666666
5e23b122f9af8b5fe4b973c9,2020-01-02 18:51:01+00:00,2020-01-02 23:58:24+00:00,2020-01-02 20:00:30+00:00,3.399,0002,CA-315,2-39-89-25,000000743,5.123055555555555
5e23b122f9af8b5fe4b973ca,2020-01-02 21:28:24+00:00,2020-01-02 21:54:33+00:00,2020-01-02 21:49:32+00:00,0.956,0002,CA-313,2-39-123-23,000002170,0.43583333333333335
5e23b122f9af8b5fe4b973cb,2020-01-02 22:17:20+00:00,2020-01-03 05:05:05+00:00,2020-01-02 23:12:44+00:00,2.35,0002,CA-320,2-39-78-363,000001124,6.795833333333333
5e23b122f9af8b5fe4b973cc,2020-01-02 22:23:55+00:00,2020-01-03 00:56:50+00:00,2020-01-03 00:56:45+00:00,17.075,0002,CA-303,2-39-139-28,000000710,2.548611111111111
5e23b122f9af8b5fe4b973cd,2020-01-03 00:03:03+00:00,2020-01-03 01:16:25+00:00,2020-01-03 00:33:55+00:00,0.913,0002,CA-315,2-39-89-25,,1.2227777777777777
5e23b122f9af8b5fe4b973ce,2020-01-03 02:50:03+00:00,2020-01-03 04:06:03+00:00,2020-01-03 04:05:54+00:00,8.768,0002,CA-303,2-39-139-28,000001263,1.2666666666666666
5e2502a2f9af8b63eb5a4de2,2020-01-03 16:14:25+00:00,2020-01-04 01:25:30+00:00,2020-01-03 19:00:03+00:00,10.325,0002,CA-323,2-39-78-366,000003853,9.184722222222222
5e2502a2f9af8b63eb5a4de3,2020-01-03 16:19:10+00:00,2020-01-03 18:08:03+00:00,2020-01-03 18:09:02+00:00,0.84,0002,CA-489,2-39-79-380,,1.8147222222222221
5e2502a2f9af8b63eb5a4de4,2020-01-03 16:37:06+00:00,2020-01-04 00:47:15+00:00,2020-01-03 18:05:49+00:00,4.426,0002,CA-315,2-39-89-25,000000743,8.169166666666667
5e2502a2f9af8b63eb5a4de5,2020-01-03 17:14:49+00:00,2020-01-04 01:38:06+00:00,2020-01-03 17:43:15+00:00,0.807,0002,CA-327,2-39-79-379,,8.388055555555555
5e2502a2f9af8b63eb5a4de6,2020-01-03 17:40:31+00:00,2020-01-03 19:30:12+00:00,2020-01-03 19:30:07+00:00,12.489,0002,CA-303,2-39-139-28,000000798,1.8280555555555555
5e2502a2f9af8b63eb5a4de7,2020-01-03 17:48:23+00:00,2020-01-03 21:45:39+00:00,2020-01-03 21:46:38+00:00,0.914,0002,CA-325,2-39-79-377,,3.9544444444444444
5e2502a2f9af8b63eb5a4de8,2020-01-03 17:50:40+00:00,2020-01-04 00:52:55+00:00,2020-01-03 19:07:54+00:00,4.008,0002,CA-313,2-39-123-23,000002170,7.0375
5e2502a2f9af8b63eb5a4de9,2020-01-03 18:08:07+00:00,2020-01-03 20:14:53+00:00,2020-01-03 18:38:11+00:00,0.812,0002,CA-489,2-39-79-380,,2.1127777777777776
5e2502a2f9af8b63eb5a4dea,2020-01-03 18:23:45+00:00,2020-01-03 21:19:46+00:00,2020-01-03 19:36:30+00:00,3.713,0002,CA-498,2-39-92-442,000003447,2.933611111111111
