soc_llegada,soc_salida
25.9994945665908,35.9994945665908
45.0,49.0
21.0,27.0
46.9899999999999,55.0
45.0,54.0
73.0,78.0
31.0,38.0
77.0,79.0
37.0,48.0
56.998,61.0
33.0,41.0
92.0,95.0
22.0,34.0
32.0,40.0
58.9899999999999,66.0
54.0,62.0
33.0,45.0
80.0,87.0
19.0,32.0
20.0,34.0
7.0,17.0
39.0,48.0
19.0,35.99
76.0,85.0
71.99,78.0
68.0,76.0
30.0,38.0
13.0,23.0
17.0,31.0
10.0,25.0
7.0,22.0
53.0,63.0
63.0,75.0
17.99,26.0
34.0,40.0
13.0,25.0
19.0,34.0
54.0,61.0
23.0,43.0
49.0,64.0
17.0,33.0
55.0,61.0
8.0,17.99
51.0,61.0
39.0,49.0
11.0,26.0
33.0,46.9899999999999
48.0,58.9899999999999
8.99,30.0
12.0,34.0
28.9999999999999,41.0
65.0,78.0
28.9999999999999,40.0
7.0,23.0
15.0,26.0
64.0,68.99
16.0,32.0
58.9899999999999,73.0
71.99,80.0
35.0,52.0
13.0,34.0
46.9899999999999,61.0
30.0,40.0
23.0,43.0
35.0,66.0
3.0,24.0
95.0,100.0
68.0,84.0
45.0,62.0
8.99,24.0
57.9999999999999,68.99
76.0,86.0
61.0,80.0
57.9999999999999,71.99
64.0,80.0
8.99,25.0
49.0,60.0
21.0,43.0
23.0,51.0
68.0,86.0
8.99,32.0
40.0,61.0
32.0,50.0
61.0,70.0
26.0,48.0
73.0,79.0
56.9899999999999,66.0
61.0,78.0
8.99909963985594,34.9984993997599
23.0,37.0
49.0,52.0
28.9999999999999,42.0
21.0,45.0
32.0,52.0
63.0,76.0
16.0,32.0
11.0,19.0
22.0,28.0
52.0,68.0
61.0,76.0
28.0,43.0
52.0,71.0
28.9992291880781,37.9997430626927
62.0,77.0
27.0,44.0
53.0,64.0
39.0,56.0
15.0,39.0
30.0,46.0
26.0,43.0
17.99,35.0
25.0,43.0
15.0,28.0
56.9899999999999,70.0
44.0,55.0
35.9987113402061,50.0
17.0,45.0
60.0,71.0
22.0,50.0
17.0,46.9899999999999
70.0,90.0
70.0,100.0
30.0,42.0
35.99,51.0
8.0,16.0
6.0,21.0
22.0,46.9899999999999
41.0,54.0
35.0,63.0
82.998732572877,89.0
77.0,90.0
32.0,58.9899999999999
21.0,49.0
65.0,88.0
10.0,41.0
38.0,58.9899999999999
21.0,55.0
35.99,54.0
17.0,40.0
27.0,55.0
34.0,50.0
63.0,74.9986979166666
24.0,48.0
35.99,61.0
60.0,74.0
70.0,89.0
58.9899999999999,71.99
28.0,51.0
16.0,37.0
50.0,64.0
8.99,34.0
65.0,77.0
26.0,54.0
12.0,22.0
51.0,80.0
16.0,50.0
35.99,50.0
21.0,50.0
15.0,37.0
35.0,63.0
27.0,43.0
28.0,45.0
40.0,64.0
48.0,62.0
15.0,48.0
26.0,55.0
27.0,57.9999999999999
6.0,37.0
22.0,50.0
15.0,50.0
15.0,51.0
49.0,63.0
42.0,46.9899999999999
56.0,66.0
32.0,50.0
8.99,39.0
18.0,38.0
15.0,32.0
2.0,25.0
35.99,81.0
48.0,54.0
11.0,35.0
